Driver,B3,SK,PP,WH,FB,VC,LD,UN,SX,KN,BY,OE,S6,PUP,SI,WA,CE,VT,AKB,BF
Lando Norris,1.9090909090909092,1,1.9090909090909092,1.95,1.9090909090909092,1.9090909090909092,1,1.95,1,1.95,1,1,1,1,1,1,1,1.95,1,1.9523809523809523
Oscar Piastri,3.75,3.75,3.6,3,3.6,3.75,3,3.75,3,3.75,3,3.75,4.333333333333334,4.333333333333334,3,3.75,3,3.75,4.333333333333334,3.6
Lewis Hamilton,5,4,5,5.5,5,5,5,5,6.5,5,5.5,5.5,4.5,4.5,6.5,4.5,5,5.5,4.5,5.9
Max Verstappen,9.5,10,9.5,11,9.5,8,7,8,8,8,8,8,8,8,8,10,7,8,8,6.88
Charles Leclerc,9.5,10,9.5,12,9.5,8,7,7,10,7,8,9,8,8,10,9,7,8,8,10.8
George Russell,25,20,25,20,25,25,16,14,20,14,20,20,16,16,20,20,16,20,16,38
Kimi Antonelli,66,50,66,50,66,66,66,50,28,50,50,50,50,50,28,50,66,50,50,19.6
Alex Albon,125,100,125,50,125,125,125,100,150,100,100,100,100,100,150,100,125,100,100,53
Carlos Sainz,125,100,125,125,125,125,150,100,150,100,100,100,100,100,150,100,150,100,100,53
Yuki Tsunoda,300,250,300,200,300,250,150,250,200,250,250,250,225,225,200,200,150,250,225,53
Liam Lawson,300,250,300,250,300,250,500,250,200,250,250,250,300,300,200,250,500,250,300,68
Lance Stroll,750,500,500,250,500,500,250,250,400,250,500,500,500,500,400,500,250,500,500,53
Fernando Alonso,750,500,500,500,500,500,150,100,400,100,500,500,400,400,400,500,150,500,400,53
Oliver Bearman,1500,1000,500,750,500,1000,750,1000,1000,1000,1000,2000,750,750,1000,750,750,1000,750,53
Nico Hulkenberg,2000,1500,500,750,500,1500,1000,1000,1000,1000,1000,2000,1000,1000,1000,1000,1000,1500,1000,53
Gabriel Bortoleto,2000,1500,500,750,500,1500,1500,1000,1000,1000,1000,2000,1000,1000,1000,1000,1500,1500,1000,53
Isack Hadjar,1500,1000,500,750,500,1000,500,1000,1000,1000,1000,2000,1000,1000,1000,1000,500,1000,1000,53
Pierre Gasly,2500,1500,500,500,500,1500,1500,1000,1000,1000,1000,2000,1000,1000,1000,1000,1500,2000,1000,53
Jack Doohan,2500,1500,500,750,500,2000,1500,1000,1000,1000,1000,2000,1000,1000,1000,1000,1500,2000,1000,53
Esteban Ocon,2500,1500,500,750,500,2000,1500,,1000,,1000,2000,1000,1000,1000,1000,1500,2000,1000,53
