Driver,B3,SK,PP,WH,FB,OE,WA,B3_probability,SK_probability,PP_probability,WH_probability,FB_probability,OE_probability,WA_probability,average_probability,normalized_probability
No Retirement,4,4,4,6.5,4,4,4,0.2,0.2,0.2,0.13333333333333333,0.2,0.2,0.2,0.19047619047619047,15.208722364025656
Jack Doohan,10,10,10,8.0,10,10,10,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.1111111111111111,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09379509379509379,7.489143588345967
Gabriel Bortoleto,10,10,10,10.0,10,10,10,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.09090909090909093,7.258708401012247
Oliver Bearman,10,10,10,12.0,10,10,10,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.08891108891108891,7.099176348242746
Isack Hadjar,10,10,10,12.0,10,10,10,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.07692307692307693,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.08891108891108891,7.099176348242746
Kimi Antonelli,16,16,16,16.0,16,16,16,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.05882352941176471,4.696811318302042
Yuki Tsunoda,16,16,13,16.0,13,16,16,0.058823529411764705,0.058823529411764705,0.07142857142857142,0.058823529411764705,0.07142857142857142,0.058823529411764705,0.058823529411764705,0.062424969987995196,4.984371194932779
Liam Lawson,16,16,16,16.0,16,16,16,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.05882352941176471,4.696811318302042
Pierre Gasly,18,18,17,16.0,17,18,16,0.05263157894736842,0.05263157894736842,0.05555555555555555,0.058823529411764705,0.05555555555555555,0.05263157894736842,0.058823529411764705,0.055236129539535106,4.410372532808266
Nico Hulkenberg,18,18,19,18.0,19,18,18,0.05263157894736842,0.05263157894736842,0.05,0.05263157894736842,0.05,0.05263157894736842,0.05263157894736842,0.051879699248120296,4.142375696517515
Fernando Alonso,20,20,20,18.0,20,20,20,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.05263157894736842,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.048335123523093444,3.859356238991473
Carlos Sainz,20,20,20,20.0,20,20,20,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.047619047619047616,3.802180591006414
Lance Stroll,20,20,20,16.0,20,20,20,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.058823529411764705,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.04921968787515006,3.9299849806200755
Alex Albon,22,22,22,20.0,22,22,22,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.047619047619047616,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.04406980183377699,3.5187882488196007
Esteban Ocon,22,22,22,20.0,22,22,22,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.047619047619047616,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.04406980183377699,3.5187882488196007
Oscar Piastri,33,33,33,33.0,33,33,33,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882356,2.348405659151021
George Russell,33,33,30,33.0,30,33,33,0.029411764705882353,0.029411764705882353,0.03225806451612903,0.029411764705882353,0.03225806451612903,0.029411764705882353,0.029411764705882353,0.03022499322309569,2.4133385345192515
Charles Leclerc,33,33,33,33.0,33,33,33,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882356,2.348405659151021
Lewis Hamilton,33,33,33,33.0,33,33,33,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882353,0.029411764705882356,2.348405659151021
Lando Norris,33,33,30,33.0,30,33,33,0.029411764705882353,0.029411764705882353,0.03225806451612903,0.029411764705882353,0.03225806451612903,0.029411764705882353,0.029411764705882353,0.03022499322309569,2.4133385345192515
Max Verstappen,33,33,30,33.0,30,33,33,0.029411764705882353,0.029411764705882353,0.03225806451612903,0.029411764705882353,0.03225806451612903,0.029411764705882353,0.029411764705882353,0.03022499322309569,2.4133385345192515
