Driver,B3,PP,FB,FR,OE,S6,PUP,WA,AKB,BF
Lando Norris,2.75,2.75,2.75,2.625,2.75,2.625,2.625,2.75,2.625,2.8
Oscar Piastri,3.75,3.6,3.6,3,3.75,3.75,3.75,3.75,3.75,3
Max Verstappen,6.5,6.5,6.5,6,6.5,6,6,6.5,6,1.2
George Russell,6,6,6,7.5,6,6,6,6,6,1.01
Charles Leclerc,8,8,8,8,8,8,8,8,8,1.01
Lewis Hamilton,8,8,8,8,8,8,8,8,8,1.01
Yuki Tsunoda,28,25,25,25,28,28,28,25,28,1.01
Kimi Antonelli,33,30,30,33,33,33,33,33,33,1.01
Liam Lawson,66,70,70,66,66,66,66,66,66,1.01
Isack Hadjar,66,70,70,66,66,66,66,66,66,1.01
Carlos Sainz,100,125,125,125,100,100,100,125,100,1.01
Fernando Alonso,100,125,125,125,100,100,100,125,100,1.01
Alex Albon,100,125,125,125,100,100,100,125,100,1.01
Pierre Gasly,200,225,225,200,150,200,200,200,200,1.01
Lance Stroll,200,225,225,250,200,225,225,200,225,1.01
Nico Hulkenberg,200,225,225,250,200,225,225,200,225,1.01
Jack Doohan,250,275,275,250,250,275,275,250,275,1.01
Oliver Bearman,250,275,275,300,250,275,275,250,275,1.01
Gabriel Bortoleto,250,275,275,300,250,275,275,250,275,1.01
Esteban Ocon,250,275,275,300,250,275,275,250,275,1.01
