Driver,B3,PP,WH,FB,UN,FR,KN,OE,S6,PUP,LS,WA,AKB,BF
Lando Norris,1.1428571428571428,1.2222222222222223,1.125,1.2222222222222223,1.3,1.1818181818181819,1.3,1.1428571428571428,1.1666666666666667,1.1666666666666667,1.3,1.1428571428571428,1.1666666666666667,1.3
Oscar Piastri,1.2,1.3333333333333333,1.2,1.3333333333333333,1.4,1.2,1.4,1.2,1.1818181818181819,1.1818181818181819,1.4,1.2,1.1818181818181819,1.6153846153846154
George Russell,1,2.25,1.9090909090909092,2.25,1.85,2.1,1.85,1,1,1,1.85,1,1,2.05
Max Verstappen,1,1.6666666666666665,2.1,1.6666666666666665,2.45,2.1,2.45,1,2.1,2.1,2.45,1,2.1,2.3
Charles Leclerc,4.5,3.5,4.333333333333334,3.5,3.75,4.5,3.75,4.5,4.5,4.5,3.75,4.5,4.5,3.5
Lewis Hamilton,4.5,3.5,4.5,3.5,3.5,4.5,3.5,4.5,4.5,4.5,3.5,4.5,4.5,3.5
Yuki Tsunoda,8,6,7.5,6,7,8,7,8,8,8,7,8,8,4.5
Isack Hadjar,20,16,16,16,20,25,20,20,25,25,20,20,25,19.6
Kimi Antonelli,20,16,20,16,20,25,20,25,25,25,20,20,25,10.8
Liam Lawson,20,25,20,25,40,25,40,25,25,25,40,20,25,25
Fernando Alonso,50,50,66,50,40,50,40,50,50,50,40,50,50,28
Alex Albon,50,70,50,70,40,50,40,50,50,50,40,50,50,28
Carlos Sainz,50,70,66,70,50,50,50,50,50,50,50,50,50,28
Pierre Gasly,50,175,50,175,40,50,40,50,50,50,40,50,50,28
Lance Stroll,100,175,100,175,250,125,250,125,125,125,250,100,125,14.7
Nico Hulkenberg,200,225,250,225,250,300,250,200,300,300,250,200,300,14.7
Esteban Ocon,500,325,250,325,400,250,400,500,275,275,400,300,275,14.7
Jack Doohan,500,500,500,500,400,300,400,500,300,300,400,500,300,14.7
Oliver Bearman,500,500,250,500,400,500,400,500,500,500,400,400,500,14.7
Gabriel Bortoleto,300,275,250,275,400,750,400,300,750,750,400,250,750,14.7
