Driver,AKB,B3,BF,BY,CE,FB,FR,G5,KN,LD,LS,MA,OE,PP,PUP,QN,S6,SI,SK,SX,UN,VC,VT,WA,WH
Lando Norris,2,9/4,13/5,11/5,2,9/4,9/4,9/4,2,2,2,13/5,9/4,9/4,2,9/4,2,9/5,15/8,9/5,2,9/4,28/15,9/4,5/2
Max Verstappen,5/2,11/4,13/5,13/5,2,5/2,5/2,11/4,3,2,3,13/5,11/4,5/2,5/2,11/4,5/2,4,4,4,3,11/4,4,11/4,11/4
Oscar Piastri,4,4,401/ 100,4,4,4,9/2,4,4,4,4,401/ 100,4,4,4,4,4,9/2,4,9/2,4,4,9/2,4,10/3
Charles Leclerc,9/2,4,47/10,9/2,6,4,9/2,4,4,6,4,47/10,4,4,9/2,4,9/2,3,10/3,3,4,4,3,4,4
Lewis Hamilton,11,10,54/5,10,14,10,12,10,10,14,10,54/5,9,10,11,10,11,9,11,9,10,10,11,10,10
George Russell,22,20,157/ 10,18,12,14,20,20,12,12,12,157/ 10,20,14,22,20,22,18,22,18,12,20,22,20,20
Carlos Sainz,50,66,53,66,40,70,66,66,40,40,40,63,50,70,50,66,50,33,66,33,40,66,66,66,66
Kimi Antonelli,50,66,63,66,50,55,66,66,50,50,50,58,66,55,50,60,50,100,80,100,50,66,80,66,80
Alex Albon,80,100,97,100,80,125,100,100,100,80,100,97,100,125,80,100,80,50,100,50,100,100,100,100,100
Yuki Tsunoda,150,150,166,150,125,175,150,150,150,125,150,352,150,175,150,150,150,100,80,100,150,150,80,150,150
Fernando Alonso,150,250,48,250,250,275,200,250,200,250,200,205,200,275,150,250,150,80,100,80,200,250,100,250,250
Isack Hadjar,300,200,293,200,200,225,300,200,300,200,300,411,200,225,300,200,300,250,100,250,300,200,100,200,200
Pierre Gasly,200,200,117,150,200,225,200,200,300,200,300,136,200,225,200,200,200,150,150,150,300,200,150,200,200
Lance Stroll,500,250,166,250,250,275,500,250,300,250,300,528,250,275,500,250,500,500,250,500,300,250,250,250,250
Nico Hulkenberg,500,250,166,250,250,275,500,250,500,250,500,685,250,275,500,250,500,200,250,200,500,250,250,250,250
Liam Lawson,150,150,73,150,500,175,150,150,150,500,150,117,150,175,150,150,150,40,80,40,150,150,80,150,150
Jack Doohan,500,500,156,600,500,500,500,500,500,500,500,528,500,500,500,500,500,400,1000,400,500,500,1000,500,500
Esteban Ocon,500,500,293,500,1000,500,500,500,1000,1000,1000,577,500,500,500,500,500,500,500,500,1000,500,500,500,500
Gabriel Bortoleto,500,250,107,250,250,275,500,250,1000,250,1000,528,250,275,500,250,500,400,500,400,1000,250,500,250,250
Oliver Bearman,750,500,215,750,1500,500,750,500,1000,1500,1000,675,500,500,750,500,750,N/A,1000,N/A,1000,500,1000,500,500
